Designator,Mid X,Mid Y,Rotation,Layer
D94,447.65,-128.375,90.0,bottom
D95,466.7,-127.0,90.0,bottom
D96,476.3,-145.5,90.0,bottom
D97,47.6,-147.425,90.0,bottom
D98,78.55625,-147.425,90.0,bottom
D99,102.36875,-147.425,90.0,bottom
F1,363.74375,-107.35,90.0,bottom
J1,85.725,-33.23125,0.0,bottom
LED1,38.1,-43.18,0.0,bottom
LED10,247.65,-43.18,0.0,bottom
LED100,116.68125,-147.955,0.0,bottom
LED101,188.11875,-147.955,0.0,bottom
LED102,259.55625,-147.955,0.0,bottom
LED103,283.36875,-147.955,0.0,bottom
LED104,307.18125,-147.955,0.0,bottom
LED105,330.99375,-147.955,0.0,bottom
LED106,357.1875,-147.955,0.0,bottom
LED107,376.2375,-147.955,0.0,bottom
LED108,395.2875,-147.955,0.0,bottom
LED109,428.625,-147.955,0.0,bottom
LED11,276.225,-43.18,0.0,bottom
LED110,457.2,-147.955,0.0,bottom
LED12,295.275,-43.18,0.0,bottom
LED13,314.325,-43.18,0.0,bottom
LED14,333.375,-43.18,0.0,bottom
LED15,357.1875,-43.18,0.0,bottom
LED16,376.2375,-43.18,0.0,bottom
LED17,395.2875,-43.18,0.0,bottom
LED18,38.1,-64.135,0.0,bottom
LED19,66.675,-71.755,0.0,bottom
LED2,66.675,-43.18,0.0,bottom
LED20,85.725,-71.755,0.0,bottom
LED21,104.775,-71.755,0.0,bottom
LED22,123.825,-71.755,0.0,bottom
LED23,142.875,-71.755,0.0,bottom
LED24,161.925,-71.755,0.0,bottom
LED25,180.975,-71.755,0.0,bottom
LED26,200.025,-71.755,0.0,bottom
LED27,219.075,-71.755,0.0,bottom
LED28,238.125,-71.755,0.0,bottom
LED29,257.175,-71.755,0.0,bottom
LED3,104.775,-43.18,0.0,bottom
LED30,276.225,-71.755,0.0,bottom
LED31,295.275,-71.755,0.0,bottom
LED32,323.85,-71.755,0.0,bottom
LED33,357.1875,-71.755,0.0,bottom
LED34,376.2375,-71.755,0.0,bottom
LED35,395.2875,-71.755,0.0,bottom
LED36,419.1,-71.755,0.0,bottom
LED37,438.15,-71.755,0.0,bottom
LED38,457.2,-71.755,0.0,bottom
LED39,476.25,-71.755,0.0,bottom
LED4,123.825,-43.18,0.0,bottom
LED40,38.1,-85.09,0.0,bottom
LED41,71.4375,-90.805,0.0,bottom
LED42,95.25,-90.805,0.0,bottom
LED43,114.3,-90.805,0.0,bottom
LED44,133.35,-90.805,0.0,bottom
LED45,152.4,-90.805,0.0,bottom
LED46,171.45,-90.805,0.0,bottom
LED47,190.5,-90.805,0.0,bottom
LED48,209.55,-90.805,0.0,bottom
LED49,228.6,-90.805,0.0,bottom
LED5,142.875,-43.18,0.0,bottom
LED50,247.65,-90.805,0.0,bottom
LED51,266.7,-90.805,0.0,bottom
LED52,285.75,-90.805,0.0,bottom
LED53,304.8,-90.805,0.0,bottom
LED54,328.6125,-90.805,0.0,bottom
LED55,357.1875,-90.805,0.0,bottom
LED56,376.2375,-90.805,0.0,bottom
LED57,395.2875,-90.805,0.0,bottom
LED58,419.1,-90.805,0.0,bottom
LED59,438.15,-90.805,0.0,bottom
LED6,161.925,-43.18,0.0,bottom
LED60,457.2,-90.805,0.0,bottom
LED61,476.25,-100.33,0.0,bottom
LED62,38.1,-106.045,0.0,bottom
LED63,73.81875,-109.855,0.0,bottom
LED64,100.0125,-109.855,0.0,bottom
LED65,119.0625,-109.855,0.0,bottom
LED66,138.1125,-109.855,0.0,bottom
LED67,157.1625,-109.855,0.0,bottom
LED68,176.2125,-109.855,0.0,bottom
LED69,195.2625,-109.855,0.0,bottom
LED7,190.5,-43.18,0.0,bottom
LED70,214.3125,-109.855,0.0,bottom
LED71,233.3625,-109.855,0.0,bottom
LED72,252.4125,-109.855,0.0,bottom
LED73,271.4625,-109.855,0.0,bottom
LED74,290.5125,-109.855,0.0,bottom
LED75,321.46875,-109.855,0.0,bottom
LED76,419.1,-109.855,0.0,bottom
LED77,438.15,-109.855,0.0,bottom
LED78,457.2,-109.855,0.0,bottom
LED79,38.1,-127.0,0.0,bottom
LED8,209.55,-43.18,0.0,bottom
LED80,78.58125,-128.905,0.0,bottom
LED81,109.5375,-128.905,0.0,bottom
LED82,128.5875,-128.905,0.0,bottom
LED83,147.6375,-128.905,0.0,bottom
LED84,166.6875,-128.905,0.0,bottom
LED85,185.7375,-128.905,0.0,bottom
LED86,204.7875,-128.905,0.0,bottom
LED87,223.8375,-128.905,0.0,bottom
LED88,242.8875,-128.905,0.0,bottom
LED89,261.9375,-128.905,0.0,bottom
LED9,228.6,-43.18,0.0,bottom
LED90,280.9875,-128.905,0.0,bottom
LED91,316.70625,-128.905,0.0,bottom
LED92,376.2375,-128.905,0.0,bottom
LED93,419.1,-128.905,0.0,bottom
LED94,438.15,-128.905,0.0,bottom
LED95,457.2,-128.905,0.0,bottom
LED96,476.25,-138.43,0.0,bottom
LED97,38.1,-147.955,0.0,bottom
LED98,69.05625,-147.955,0.0,bottom
LED99,92.86875,-147.955,0.0,bottom
MX1,38.1,-38.1,0.0,bottom
MX10,247.65,-38.1,0.0,bottom
MX100,116.68125,-142.875,0.0,bottom
MX101,188.11875,-142.875,0.0,bottom
MX102,259.55625,-142.875,0.0,bottom
MX103,283.36875,-142.875,0.0,bottom
MX104,307.18125,-142.875,0.0,bottom
MX105,330.99375,-142.875,0.0,bottom
MX106,357.1875,-142.875,0.0,bottom
MX107,376.2375,-142.875,0.0,bottom
MX108,395.2875,-142.875,0.0,bottom
MX109,428.625,-142.875,0.0,bottom
MX11,276.225,-38.1,0.0,bottom
MX110,457.2,-142.875,0.0,bottom
MX12,295.275,-38.1,0.0,bottom
MX13,314.325,-38.1,0.0,bottom
MX14,333.375,-38.1,0.0,bottom
MX15,357.1875,-38.1,0.0,bottom
MX16,376.2375,-38.1,0.0,bottom
MX17,395.2875,-38.1,0.0,bottom
MX18,38.1,-59.055,0.0,bottom
MX19,66.675,-66.675,0.0,bottom
MX2,66.675,-38.1,0.0,bottom
MX20,85.725,-66.675,0.0,bottom
MX21,104.775,-66.675,0.0,bottom
MX22,123.825,-66.675,0.0,bottom
MX23,142.875,-66.675,0.0,bottom
MX24,161.925,-66.675,0.0,bottom
MX25,180.975,-66.675,0.0,bottom
MX26,200.025,-66.675,0.0,bottom
MX27,219.075,-66.675,0.0,bottom
MX28,238.125,-66.675,0.0,bottom
MX29,257.175,-66.675,0.0,bottom
MX3,104.775,-38.1,0.0,bottom
MX30,276.225,-66.675,0.0,bottom
MX31,295.275,-66.675,0.0,bottom
MX32,323.85,-66.675,0.0,bottom
MX33,357.1875,-66.675,0.0,bottom
MX34,376.2375,-66.675,0.0,bottom
MX35,395.2875,-66.675,0.0,bottom
MX36,419.1,-66.675,0.0,bottom
MX37,438.15,-66.675,0.0,bottom
MX38,457.2,-66.675,0.0,bottom
MX39,476.25,-66.675,0.0,bottom
MX4,123.825,-38.1,0.0,bottom
MX40,38.1,-80.01,0.0,bottom
MX41,71.4375,-85.725,0.0,bottom
MX42,95.25,-85.725,0.0,bottom
MX43,114.3,-85.725,0.0,bottom
MX44,133.35,-85.725,0.0,bottom
MX45,152.4,-85.725,0.0,bottom
MX46,171.45,-85.725,0.0,bottom
MX47,190.5,-85.725,0.0,bottom
MX48,209.55,-85.725,0.0,bottom
MX49,228.6,-85.725,0.0,bottom
MX5,142.875,-38.1,0.0,bottom
MX50,247.65,-85.725,0.0,bottom
MX51,266.7,-85.725,0.0,bottom
MX52,285.75,-85.725,0.0,bottom
MX53,304.8,-85.725,0.0,bottom
MX54,328.6125,-85.725,0.0,bottom
MX55,357.1875,-85.725,0.0,bottom
MX56,376.2375,-85.725,0.0,bottom
MX57,395.2875,-85.725,0.0,bottom
MX58,419.1,-85.725,0.0,bottom
MX59,438.15,-85.725,0.0,bottom
MX6,161.925,-38.1,0.0,bottom
MX60,457.2,-85.725,0.0,bottom
MX61,476.25,-95.25,0.0,bottom
MX62,38.1,-100.965,0.0,bottom
MX63,73.81875,-104.775,0.0,bottom
MX64,100.0125,-104.775,0.0,bottom
MX65,119.0625,-104.775,0.0,bottom
MX66,138.1125,-104.775,0.0,bottom
MX67,157.1625,-104.775,0.0,bottom
MX68,176.2125,-104.775,0.0,bottom
MX69,195.2625,-104.775,0.0,bottom
MX7,190.5,-38.1,0.0,bottom
MX70,214.3125,-104.775,0.0,bottom
MX71,233.3625,-104.775,0.0,bottom
MX72,252.4125,-104.775,0.0,bottom
MX73,271.4625,-104.775,0.0,bottom
MX74,290.5125,-104.775,0.0,bottom
MX75,321.46875,-104.775,0.0,bottom
MX76,419.1,-104.775,0.0,bottom
MX77,438.15,-104.775,0.0,bottom
MX78,457.2,-104.775,0.0,bottom
MX79,38.1,-121.92,0.0,bottom
MX8,209.55,-38.1,0.0,bottom
MX80,78.58125,-123.825,0.0,bottom
MX81,109.5375,-123.825,0.0,bottom
MX82,128.5875,-123.825,0.0,bottom
MX83,147.6375,-123.825,0.0,bottom
MX84,166.6875,-123.825,0.0,bottom
MX85,185.7375,-123.825,0.0,bottom
MX86,204.7875,-123.825,0.0,bottom
MX87,223.8375,-123.825,0.0,bottom
MX88,242.8875,-123.825,0.0,bottom
MX89,261.9375,-123.825,0.0,bottom
MX9,228.6,-38.1,0.0,bottom
MX90,280.9875,-123.825,0.0,bottom
MX91,316.70625,-123.825,0.0,bottom
MX92,376.2375,-123.825,0.0,bottom
MX93,419.1,-123.825,0.0,bottom
MX94,438.15,-123.825,0.0,bottom
MX95,457.2,-123.825,0.0,bottom
MX96,476.25,-133.35,0.0,bottom
MX97,38.1,-142.875,0.0,bottom
MX98,69.05625,-142.875,0.0,bottom
MX99,92.86875,-142.875,0.0,bottom
R1,360.74375,-104.35,270.0,bottom
R2,358.24375,-104.35,90.0,bottom
R3,387.24375,-106.1,270.0,bottom
R4,387.24375,-108.6,270.0,bottom
RST1,394.24375,-110.35,0.0,bottom
SW1,428.95,-38.1,90.0,top
SW2,466.95,-38.1,90.0,top
U1,377.24375,-107.35,0.0,bottom
U2,359.49375,-107.35,0.0,bottom
U3,366.99375,-103.1,90.0,bottom
